mls,price,address,beds,baths,sqft,year_built,lot_size,garage,agent,city
2121822,"$4,990,000","2428 E Field Rose Dr, Holladay, UT 84121",7,11,13807,1997,1.01 Ac,2121822,"Contact Agent Kasey Kershaw 801-953-6004 Your Name Your Email Your Phone # Sending Feedback... var onloadCallback = function(){ grecaptcha.render('captcha_here', { sitekey: '6LeqISkUAAAAAE6jbUjT6D8UBYCTSMx7NxITOCUM' }); };",holladay
2120570,"$1,000,000","3916 S Olympus Orchards Ln, Holladay, UT 84124",4,4,2843,2016,0.13 Ac,2120570,"Contact Agent Lisa Woodbury 801-440-8809 Co-Agent Lori Ann Hendry 801-641-3717 Your Name Your Email Your Phone # Sending Feedback... var onloadCallback = function(){ grecaptcha.render('captcha_here', { sitekey: '6LeqISkUAAAAAE6jbUjT6D8UBYCTSMx7NxITOCUM' }); };",holladay
2120055,"$1,999,999","6299 S Van Cott Rd, Holladay, UT 84121",6,4,5380,1973,1.02 Ac,2120055,"Contact Agent Jessica Terry 801-948-9903 Your Name Your Email Your Phone # Sending Feedback... var onloadCallback = function(){ grecaptcha.render('captcha_here', { sitekey: '6LeqISkUAAAAAE6jbUjT6D8UBYCTSMx7NxITOCUM' }); };",holladay
2120345,"$1,975,000","1958 E Longview Dr, Holladay, UT 84124",6,4,4545,1952,0.31 Ac,2120345,"Contact Agent Shelly Vardakis 801-671-3701 Co-Agent Chrisanne Sueltz 801-808-6033 Your Name Your Email Your Phone # Sending Feedback... var onloadCallback = function(){ grecaptcha.render('captcha_here', { sitekey: '6LeqISkUAAAAAE6jbUjT6D8UBYCTSMx7NxITOCUM' }); };",holladay
2119852,"$1,050,000","1958 E Cecelia Cir, Holladay, UT 84121",5,4,3406,2011,0.17 Ac,2119852,"Contact Agent Lisa Woodbury 801-440-8809 Co-Agent Lori Ann Hendry 801-641-3717 Your Name Your Email Your Phone # Sending Feedback... var onloadCallback = function(){ grecaptcha.render('captcha_here', { sitekey: '6LeqISkUAAAAAE6jbUjT6D8UBYCTSMx7NxITOCUM' }); };",holladay
2119073,"$5,000,000","1734 E Spring Ln, Holladay, UT 84117",7,10,11018,1999,1.44 Ac,3,"Contact Agent James Roth 801-597-5700 Your Name Your Email Your Phone # Sending Feedback... var onloadCallback = function(){ grecaptcha.render('captcha_here', { sitekey: '6LeqISkUAAAAAE6jbUjT6D8UBYCTSMx7NxITOCUM' }); };",holladay
2117748,"$1,320,000","1489 E Spring Ln, Holladay, UT 84117",5,4,4623,1932,0.23 Ac,2117748,"Contact Agent Sommer Brown 801-842-6401 Your Name Your Email Your Phone # Sending Feedback... var onloadCallback = function(){ grecaptcha.render('captcha_here', { sitekey: '6LeqISkUAAAAAE6jbUjT6D8UBYCTSMx7NxITOCUM' }); };",holladay
2118184,"$1,378,000","6187 S 2090 E, Holladay, UT 84121",5,4,5278,1991,0.25 Ac,2118184,"Contact Agent Susie Martindale 801-558-7301 Co-Agent Karin Davis 801-205-4868 Your Name Your Email Your Phone # Sending Feedback... var onloadCallback = function(){ grecaptcha.render('captcha_here', { sitekey: '6LeqISkUAAAAAE6jbUjT6D8UBYCTSMx7NxITOCUM' }); };",holladay
2117437,"$3,396,000","2415 E Karren St, Holladay, UT 84124",7,7,7982,1972,0.64 Ac,4,"Contact Agent Jonathan Pocock 801-448-3800 Your Name Your Email Your Phone # Sending Feedback... var onloadCallback = function(){ grecaptcha.render('captcha_here', { sitekey: '6LeqISkUAAAAAE6jbUjT6D8UBYCTSMx7NxITOCUM' }); };",holladay
2117246,"$1,395,000","2894 E Kentucky Ave, Holladay, UT 84117",6,3,3350,1964,0.19 Ac,2117246,"Contact Agent Mike Lindsay 801-580-5567 Your Name Your Email Your Phone # Sending Feedback... var onloadCallback = function(){ grecaptcha.render('captcha_here', { sitekey: '6LeqISkUAAAAAE6jbUjT6D8UBYCTSMx7NxITOCUM' }); };",holladay
2116826,"$2,990,000","2105 E Fardown Ave, Holladay, UT 84121",5,5,4934,1958,0.48 Ac,2116826,"Contact Agent Joseph Tuenge 801-386-1039 Your Name Your Email Your Phone # Sending Feedback... var onloadCallback = function(){ grecaptcha.render('captcha_here', { sitekey: '6LeqISkUAAAAAE6jbUjT6D8UBYCTSMx7NxITOCUM' }); };",holladay
2116525,"$879,000","1894 E Southmoor Dr, Holladay, UT 84117",3,2,1800,1960,0.30 Ac,2116525,"Contact Agent Gary R Beynon 801-450-1031 Your Name Your Email Your Phone # Sending Feedback... var onloadCallback = function(){ grecaptcha.render('captcha_here', { sitekey: '6LeqISkUAAAAAE6jbUjT6D8UBYCTSMx7NxITOCUM' }); };",holladay
2116269,"$1,980,000","1963 E Charleston Ln, Holladay, UT 84121",3,3,5091,2025,0.27 Ac,2116269,"Contact Agent C Terry Clark 801-550-0903 Your Name Your Email Your Phone # Sending Feedback... var onloadCallback = function(){ grecaptcha.render('captcha_here', { sitekey: '6LeqISkUAAAAAE6jbUjT6D8UBYCTSMx7NxITOCUM' }); };",holladay
2115730,"$1,989,999","4445 S Holladay Park Ln, Holladay, UT 84124",4,4,3069,2024,0.03 Ac,2115730,"Contact Agent Felipe Pacheco 801-550-4085 Your Name Your Email Your Phone # Sending Feedback... var onloadCallback = function(){ grecaptcha.render('captcha_here', { sitekey: '6LeqISkUAAAAAE6jbUjT6D8UBYCTSMx7NxITOCUM' }); };",holladay
2115650,"$759,000","4092 S 2700 E, Holladay, UT 84124",4,2,2288,1954,0.19 Ac,1,"Contact Agent Jonathan Day 801-916-6035 Your Name Your Email Your Phone # Sending Feedback... var onloadCallback = function(){ grecaptcha.render('captcha_here', { sitekey: '6LeqISkUAAAAAE6jbUjT6D8UBYCTSMx7NxITOCUM' }); };",holladay
2115475,"$895,000","6266 S Meadowcrest Rd, Holladay, UT 84121",5,4,3225,1995,0.28 Ac,2115475,"Contact Agent John Armstrong 801-577-2365 Co-Agent Becky Kice 801-698-9003 Your Name Your Email Your Phone # Sending Feedback... var onloadCallback = function(){ grecaptcha.render('captcha_here', { sitekey: '6LeqISkUAAAAAE6jbUjT6D8UBYCTSMx7NxITOCUM' }); };",holladay
2115199,"$1,978,570","4455 S Holladay Park Ln, Holladay, UT 84124",4,4,3069,2026,0.03 Ac,2115199,"Contact Agent Angie Nelden 801-718-4346 Your Name Your Email Your Phone # Sending Feedback... var onloadCallback = function(){ grecaptcha.render('captcha_here', { sitekey: '6LeqISkUAAAAAE6jbUjT6D8UBYCTSMx7NxITOCUM' }); };",holladay
2114592,"$4,150,000","2621 E Providence Ct, Holladay, UT 84121",2,3,3138,1994,2.00 Ac,4,"Contact Agent Scott Simpson 801-550-9328 Your Name Your Email Your Phone # Sending Feedback... var onloadCallback = function(){ grecaptcha.render('captcha_here', { sitekey: '6LeqISkUAAAAAE6jbUjT6D8UBYCTSMx7NxITOCUM' }); };",holladay
2114046,"$940,000","2035 E Ribbon Ln, Holladay, UT 84117",6,3,2726,1963,0.26 Ac,2114046,"Contact Agent Samantha K Knaphus 801-842-6190 Your Name Your Email Your Phone # Sending Feedback... var onloadCallback = function(){ grecaptcha.render('captcha_here', { sitekey: '6LeqISkUAAAAAE6jbUjT6D8UBYCTSMx7NxITOCUM' }); };",holladay
2114153,"$619,900","1818 E 3900 S, Holladay, UT 84124",3,2,1904,1990,0.22 Ac,2114153,"Contact Agent Emilie Call 801-915-5917 Co-Agent Jodie Coon 801-809-8446 Your Name Your Email Your Phone # Sending Feedback... var onloadCallback = function(){ grecaptcha.render('captcha_here', { sitekey: '6LeqISkUAAAAAE6jbUjT6D8UBYCTSMx7NxITOCUM' }); };",holladay
2114568,"$669,000","5946 S Highland Dr, Holladay, UT 84121",3,2,1750,1946,0.33 Ac,1,"Contact Agent Brian C Williams 801-347-6300 Your Name Your Email Your Phone # Sending Feedback... var onloadCallback = function(){ grecaptcha.render('captcha_here', { sitekey: '6LeqISkUAAAAAE6jbUjT6D8UBYCTSMx7NxITOCUM' }); };",holladay
2112863,"$4,500,000","6307 S Oles Ln, Holladay, UT 84121",11,10,12800,1942,1.75 Ac,50,"Contact Agent Richard W Bailey 801-560-7676 Your Name Your Email Your Phone # Sending Feedback... var onloadCallback = function(){ grecaptcha.render('captcha_here', { sitekey: '6LeqISkUAAAAAE6jbUjT6D8UBYCTSMx7NxITOCUM' }); };",holladay
2111654,"$869,999","2836 E 5495 S, Holladay, UT 84117",4,3,2476,1961,0.24 Ac,2111654,"Contact Agent Kenneth E. Bell 385-267-7781 Your Name Your Email Your Phone # Sending Feedback... var onloadCallback = function(){ grecaptcha.render('captcha_here', { sitekey: '6LeqISkUAAAAAE6jbUjT6D8UBYCTSMx7NxITOCUM' }); };",holladay
2112307,"$799,900","4085 S Olympic Way, Holladay, UT 84124",5,2,2302,1957,0.19 Ac,1,"Contact Agent Mike Vielstich 801-633-3216 Your Name Your Email Your Phone # Sending Feedback... var onloadCallback = function(){ grecaptcha.render('captcha_here', { sitekey: '6LeqISkUAAAAAE6jbUjT6D8UBYCTSMx7NxITOCUM' }); };",holladay
2111366,"$14,500,000","2318 E Walker Ln, Holladay, UT 84117",7,9,10574,2007,4.87 Ac,9,"Contact Agent Mike Lindsay 801-580-5567 Your Name Your Email Your Phone # Sending Feedback... var onloadCallback = function(){ grecaptcha.render('captcha_here', { sitekey: '6LeqISkUAAAAAE6jbUjT6D8UBYCTSMx7NxITOCUM' }); };",holladay
2111360,"$995,000","2451 E Murray Holladay Rd, Holladay, UT 84117",5,3,2483,1961,0.18 Ac,2111360,"Contact Agent Dean DeLeone 435-602-9093 Your Name Your Email Your Phone # Sending Feedback... var onloadCallback = function(){ grecaptcha.render('captcha_here', { sitekey: '6LeqISkUAAAAAE6jbUjT6D8UBYCTSMx7NxITOCUM' }); };",holladay
2111327,"$775,000","4470 S 2700 E, Holladay, UT 84124",3,2,2214,1956,0.25 Ac,2,"Contact Agent Brenda Lee Jones 801-680-7076 Co-Agent Erik Jones 801-631-3070 Your Name Your Email Your Phone # Sending Feedback... var onloadCallback = function(){ grecaptcha.render('captcha_here', { sitekey: '6LeqISkUAAAAAE6jbUjT6D8UBYCTSMx7NxITOCUM' }); };",holladay
2111119,"$2,750,000","4881 S Holladay Blvd, Holladay, UT 84117",5,5,5699,2024,0.28 Ac,2111119,"Contact Agent Kathleen Granderath 801-232-3587 Your Name Your Email Your Phone # Sending Feedback... var onloadCallback = function(){ grecaptcha.render('captcha_here', { sitekey: '6LeqISkUAAAAAE6jbUjT6D8UBYCTSMx7NxITOCUM' }); };",holladay
2110993,"$995,000","4340 S Lynne Ln, Holladay, UT 84124",6,5,4730,1985,0.23 Ac,2110993,"Contact Agent Marta Sloan 801-953-7756 Your Name Your Email Your Phone # Sending Feedback... var onloadCallback = function(){ grecaptcha.render('captcha_here', { sitekey: '6LeqISkUAAAAAE6jbUjT6D8UBYCTSMx7NxITOCUM' }); };",holladay
2110892,"$769,500","3976  Pine Tree Dr, Holladay, UT 84124",4,2,2787,1955,0.21 Ac,2110892,"Contact Agent Jessie Satsuda 801-906-1092 Co-Agent Brandy Garner 760-694-2727 Your Name Your Email Your Phone # Sending Feedback... var onloadCallback = function(){ grecaptcha.render('captcha_here', { sitekey: '6LeqISkUAAAAAE6jbUjT6D8UBYCTSMx7NxITOCUM' }); };",holladay
2110788,"$1,179,000","2752 E Wardway Dr, Holladay, UT 84124",5,2,3216,1953,0.21 Ac,2110788,"Contact Agent Christian Bitton 801-631-6165 Your Name Your Email Your Phone # Sending Feedback... var onloadCallback = function(){ grecaptcha.render('captcha_here', { sitekey: '6LeqISkUAAAAAE6jbUjT6D8UBYCTSMx7NxITOCUM' }); };",holladay
2110757,"$830,000","4159 S Monarch, Holladay, UT 84124",5,3,2537,1958,0.18 Ac,0,,holladay
2109250,"$3,850,000","6369 S Cobblerock Ln, Holladay, UT 84121",5,7,10071,2025,1.19 Ac,2109250,"Contact Agent Kim Jessee 801-512-9721 Your Name Your Email Your Phone # Sending Feedback... var onloadCallback = function(){ grecaptcha.render('captcha_here', { sitekey: '6LeqISkUAAAAAE6jbUjT6D8UBYCTSMx7NxITOCUM' }); };",holladay
2108791,"$875,000","1617 E Meadowmoor Rd, Holladay, UT 84117",5,3,3278,1963,0.23 Ac,2108791,"Contact Agent Darren Mansell 801-598-1010 Co-Agent Shilane Mansell 801-891-2983 Your Name Your Email Your Phone # Sending Feedback... var onloadCallback = function(){ grecaptcha.render('captcha_here', { sitekey: '6LeqISkUAAAAAE6jbUjT6D8UBYCTSMx7NxITOCUM' }); };",holladay
2107707,"$835,900","2263 E 4500 S, Holladay, UT 84117",5,3,3136,1963,0.33 Ac,4,"Contact Agent Tarl K Booth 801-953-6550 Your Name Your Email Your Phone # Sending Feedback... var onloadCallback = function(){ grecaptcha.render('captcha_here', { sitekey: '6LeqISkUAAAAAE6jbUjT6D8UBYCTSMx7NxITOCUM' }); };",holladay
2106948,"$1,099,000","4972 S Boabab Cir, Holladay, UT 84117",5,4,4362,1981,0.29 Ac,2106948,"Contact Agent Helen Reynolds 801-231-0814 Co-Agent Rie Attridge 323-574-6305 Your Name Your Email Your Phone # Sending Feedback... var onloadCallback = function(){ grecaptcha.render('captcha_here', { sitekey: '6LeqISkUAAAAAE6jbUjT6D8UBYCTSMx7NxITOCUM' }); };",holladay
2106653,"$4,695,000","2138 E Pheasant Ln, Holladay, UT 84121",6,6,8218,2023,0.52 Ac,2106653,"Contact Agent Linda Secrist 801-455-9999 Co-Agent Lisa Herron-McKinney 801-455-9900 Your Name Your Email Your Phone # Sending Feedback... var onloadCallback = function(){ grecaptcha.render('captcha_here', { sitekey: '6LeqISkUAAAAAE6jbUjT6D8UBYCTSMx7NxITOCUM' }); };",holladay
2106809,"$799,000","4275 S Monarch Way, Holladay, UT 84124",4,2,2320,1959,0.20 Ac,2106809,"Contact Agent LeeAnn Mitchell 801-656-5631 Your Name Your Email Your Phone # Sending Feedback... var onloadCallback = function(){ grecaptcha.render('captcha_here', { sitekey: '6LeqISkUAAAAAE6jbUjT6D8UBYCTSMx7NxITOCUM' }); };",holladay
2106685,"$1,970,000","2321 E Wrenhaven Ln, Holladay, UT 84121",6,4,5562,1987,0.48 Ac,2,"Contact Agent Abbey Drummond 801-440-4812 Your Name Your Email Your Phone # Sending Feedback... var onloadCallback = function(){ grecaptcha.render('captcha_here', { sitekey: '6LeqISkUAAAAAE6jbUjT6D8UBYCTSMx7NxITOCUM' }); };",holladay
2105276,"$6,990,000","2222 E Walker Ln, Holladay, UT 84117",8,10,9275,2023,1.00 Ac,2105276,"Contact Agent Lisa Herron-McKinney 801-455-9900 Co-Agent Linda Secrist 801-455-9999 Your Name Your Email Your Phone # Sending Feedback... var onloadCallback = function(){ grecaptcha.render('captcha_here', { sitekey: '6LeqISkUAAAAAE6jbUjT6D8UBYCTSMx7NxITOCUM' }); };",holladay
2124237,"$834,900","352 E Mistilake Ln  #20, Draper, UT 84020",3,3,2955,2025,0.13 Ac,2124237,"Contact Agent Chris McCandless 801-597-4575 Your Name Your Email Your Phone # Sending Feedback... var onloadCallback = function(){ grecaptcha.render('captcha_here', { sitekey: '6LeqISkUAAAAAE6jbUjT6D8UBYCTSMx7NxITOCUM' }); };",draper
2124166,"$3,200,000","12525 S 1300 E, Draper, UT 84020",6,8,9128,2026,0.69 Ac,2124166,"Contact Agent Zach Ngawaka 801-888-5905 Your Name Your Email Your Phone # Sending Feedback... var onloadCallback = function(){ grecaptcha.render('captcha_here', { sitekey: '6LeqISkUAAAAAE6jbUjT6D8UBYCTSMx7NxITOCUM' }); };",draper
2123993,"$999,000","479 E Fox Farm Pl, Draper, UT 84020",5,4,3559,2005,0.25 Ac,2123993,"Contact Agent Justin Fox 801-860-4881 Your Name Your Email Your Phone # Sending Feedback... var onloadCallback = function(){ grecaptcha.render('captcha_here', { sitekey: '6LeqISkUAAAAAE6jbUjT6D8UBYCTSMx7NxITOCUM' }); };",draper
2123848,"$999,999","13052 S Green Clover Rd, Draper, UT 84020",8,8,11417,1997,0.94 Ac,4,"Contact Agent Dan Evans 801-372-3512 Co-Agent Matt Evans 801-367-7077 Your Name Your Email Your Phone # Sending Feedback... var onloadCallback = function(){ grecaptcha.render('captcha_here', { sitekey: '6LeqISkUAAAAAE6jbUjT6D8UBYCTSMx7NxITOCUM' }); };",draper
2123704,"$1,299,000","14648 S Springtime Rd, Draper (UT Cnty), UT 84020",6,5,4781,2021,0.44 Ac,2,"Contact Agent Courtney Maddox 801-420-6051 Your Name Your Email Your Phone # Sending Feedback... var onloadCallback = function(){ grecaptcha.render('captcha_here', { sitekey: '6LeqISkUAAAAAE6jbUjT6D8UBYCTSMx7NxITOCUM' }); };",draper
2123526,"$2,999,000","12958 S 300 E, Draper, UT 84020",5,6,6793,1988,0.98 Ac,2123526,"Contact Agent Mark W Robison 801-554-4189 Co-Agent David F Rangasan 801-674-3567 Your Name Your Email Your Phone # Sending Feedback... var onloadCallback = function(){ grecaptcha.render('captcha_here', { sitekey: '6LeqISkUAAAAAE6jbUjT6D8UBYCTSMx7NxITOCUM' }); };",draper
2123299,"$850,000","14678 S Silver Blossom Way, Draper, UT 84020",4,5,5316,2021,0.16 Ac,2123299,"Contact Agent Scott Steadman 801-347-1401 Co-Agent Robyn Foulger 801-205-3388 Your Name Your Email Your Phone # Sending Feedback... var onloadCallback = function(){ grecaptcha.render('captcha_here', { sitekey: '6LeqISkUAAAAAE6jbUjT6D8UBYCTSMx7NxITOCUM' }); };",draper
2123192,"$1,349,000","296 E Ireland Ln  #101, Draper, UT 84020",5,4,4781,2020,0.15 Ac,2123192,"Contact Agent Kyle Tucker 385-335-0216 Co-Agent Emma L Romney 385-391-2601 Your Name Your Email Your Phone # Sending Feedback... var onloadCallback = function(){ grecaptcha.render('captcha_here', { sitekey: '6LeqISkUAAAAAE6jbUjT6D8UBYCTSMx7NxITOCUM' }); };",draper
2123255,"$1,180,000","12182 S Pine Way, Draper, UT 84020",5,4,4240,1996,0.23 Ac,2123255,"Contact Agent Clay Winder 801-358-0970 Co-Agent Kimberly A Mangel 801-866-8613 Your Name Your Email Your Phone # Sending Feedback... var onloadCallback = function(){ grecaptcha.render('captcha_here', { sitekey: '6LeqISkUAAAAAE6jbUjT6D8UBYCTSMx7NxITOCUM' }); };",draper
2123112,"$1,185,000","12073 S 300 E, Draper, UT 84020",5,5,4300,2003,0.47 Ac,2123112,"Contact Agent Julie A. Myers 801-915-5555 Your Name Your Email Your Phone # Sending Feedback... var onloadCallback = function(){ grecaptcha.render('captcha_here', { sitekey: '6LeqISkUAAAAAE6jbUjT6D8UBYCTSMx7NxITOCUM' }); };",draper
2122976,"$850,000","14726 S Snow Blossom Way, Draper, UT 84020",4,3,3597,2018,0.14 Ac,2122976,"Contact Agent Scott Steadman 801-347-1401 Co-Agent Robyn Foulger 801-205-3388 Your Name Your Email Your Phone # Sending Feedback... var onloadCallback = function(){ grecaptcha.render('captcha_here', { sitekey: '6LeqISkUAAAAAE6jbUjT6D8UBYCTSMx7NxITOCUM' }); };",draper
2122877,"$899,000","14712 S Glacial Peak Dr, Draper, UT 84020",4,4,3556,2021,0.14 Ac,2122877,"Contact Agent Randal Banagas 801-610-9802 Co-Agent Wes Banagas 801-436-7366 Your Name Your Email Your Phone # Sending Feedback... var onloadCallback = function(){ grecaptcha.render('captcha_here', { sitekey: '6LeqISkUAAAAAE6jbUjT6D8UBYCTSMx7NxITOCUM' }); };",draper
2122248,"$1,979,000","13302 S Corner Wood Dr, Draper, UT 84020",6,5,6522,2004,0.46 Ac,2,"Contact Agent Stephanie Poulos Arrasi 801-703-8780 Co-Agent Anthony S Arrasi 801-703-8779 Your Name Your Email Your Phone # Sending Feedback... var onloadCallback = function(){ grecaptcha.render('captcha_here', { sitekey: '6LeqISkUAAAAAE6jbUjT6D8UBYCTSMx7NxITOCUM' }); };",draper
2122582,"$1,200,000","14749 S Springtime Rd  #620, Draper (UT Cnty), UT 84020",4,3,5033,2021,0.20 Ac,2122582,"Contact Agent Martha Morris 502-299-1317 Your Name Your Email Your Phone # Sending Feedback... var onloadCallback = function(){ grecaptcha.render('captcha_here', { sitekey: '6LeqISkUAAAAAE6jbUjT6D8UBYCTSMx7NxITOCUM' }); };",draper
2122079,"$915,000","1422 E Cherry Canyon Way, Draper, UT 84020",5,3,4011,1992,0.30 Ac,2122079,"Contact Agent Dan Eerkes 801-548-6116 Your Name Your Email Your Phone # Sending Feedback... var onloadCallback = function(){ grecaptcha.render('captcha_here', { sitekey: '6LeqISkUAAAAAE6jbUjT6D8UBYCTSMx7NxITOCUM' }); };",draper
2121960,"$989,900","2209 E Viscaya Dr, Draper, UT 84020",5,3,4317,2018,0.24 Ac,2121960,"Contact Agent Alicia Madsen 801-440-6280 Your Name Your Email Your Phone # Sending Feedback... var onloadCallback = function(){ grecaptcha.render('captcha_here', { sitekey: '6LeqISkUAAAAAE6jbUjT6D8UBYCTSMx7NxITOCUM' }); };",draper
2121720,"$650,000","13888 S Wheadon Ct, Draper, UT 84020",3,3,2920,2014,0.09 Ac,1,"Contact Agent Adam Russell 801-915-8065 Your Name Your Email Your Phone # Sending Feedback... var onloadCallback = function(){ grecaptcha.render('captcha_here', { sitekey: '6LeqISkUAAAAAE6jbUjT6D8UBYCTSMx7NxITOCUM' }); };",draper
2121721,"$650,000","194 E Bridgepark Cir, Draper, UT 84020",3,3,2674,1996,0.13 Ac,2121721,"Contact Agent Jennifer Call 801-471-7145 Co-Agent Nathan Davey 801-310-9109 Your Name Your Email Your Phone # Sending Feedback... var onloadCallback = function(){ grecaptcha.render('captcha_here', { sitekey: '6LeqISkUAAAAAE6jbUjT6D8UBYCTSMx7NxITOCUM' }); };",draper
2120882,"$699,000","958 E Deer Arch Ln, Draper, UT 84020",3,3,2266,2017,0.10 Ac,2120882,"Contact Agent Genavieve Zadeh 801-654-1937 Your Name Your Email Your Phone # Sending Feedback... var onloadCallback = function(){ grecaptcha.render('captcha_here', { sitekey: '6LeqISkUAAAAAE6jbUjT6D8UBYCTSMx7NxITOCUM' }); };",draper
2120858,"$677,000","14345 S Lapis Dr, Draper, UT 84020",4,4,2214,1997,0.14 Ac,2120858,"Contact Agent Sheron Walker 801-554-8667 Your Name Your Email Your Phone # Sending Feedback... var onloadCallback = function(){ grecaptcha.render('captcha_here', { sitekey: '6LeqISkUAAAAAE6jbUjT6D8UBYCTSMx7NxITOCUM' }); };",draper
2120714,"$575,000","386 W 13165 S, Draper, UT 84020",4,2,1815,1999,0.11 Ac,2120714,"Contact Agent Charisse Walker 801-201-2949 Your Name Your Email Your Phone # Sending Feedback... var onloadCallback = function(){ grecaptcha.render('captcha_here', { sitekey: '6LeqISkUAAAAAE6jbUjT6D8UBYCTSMx7NxITOCUM' }); };",draper
2120821,"$495,000","11880 S Landou Dr, Draper, UT 84020",3,2,1378,1996,0.10 Ac,2,"Contact Agent Travis Sorenson 801-361-0684 Co-Agent Lacy Dawn Cooper 435-225-4875 Your Name Your Email Your Phone # Sending Feedback... var onloadCallback = function(){ grecaptcha.render('captcha_here', { sitekey: '6LeqISkUAAAAAE6jbUjT6D8UBYCTSMx7NxITOCUM' }); };",draper
2120594,"$1,585,000","1263 E Wild Maple Ct, Draper, UT 84020",7,6,6753,2006,34 ac,2120594,"Contact Agent Brett R Sellick 801-502-9955 Your Name Your Email Your Phone # Sending Feedback... var onloadCallback = function(){ grecaptcha.render('captcha_here', { sitekey: '6LeqISkUAAAAAE6jbUjT6D8UBYCTSMx7NxITOCUM' }); };",draper
2120537,"$824,900","14138 S Spyglass Hill Dr, Draper, UT 84020",2,3,3723,2004,0.15 Ac,2120537,"Contact Agent Lani Herd 801-548-5334 Your Name Your Email Your Phone # Sending Feedback... var onloadCallback = function(){ grecaptcha.render('captcha_here', { sitekey: '6LeqISkUAAAAAE6jbUjT6D8UBYCTSMx7NxITOCUM' }); };",draper
